Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,242.894,408.711,1039.22,312.575,244.723,1068.4,438.495,236.71,1070.14,537.438,402.923,1038.82,571.855,351.222,911.778,537.825,307.688,513.072,421.223,318.327,490.199,539.084,334.472,373.115,539.583,278.83,119.584,449.761,313.563,137.486,476.953,212.138,80.9495,516.713,435.581,85.1144,201.738,374.34,916.216,230.088,313.613,512.858,353.913,318.32,496.783,226.902,336.226,376.566,239.004,300.033,121.479,332.105,325.562,138.182,309.126,224.157,77.2734,269.436,451.158,84.0567,,,,,,,,,,,,,,,
2,0,242.894,408.711,1039.22,312.543,244.708,1068.4,438.495,236.695,1070.14,537.411,402.929,1038.79,571.832,351.208,911.771,537.826,307.693,513.053,421.21,318.338,490.138,539.071,334.479,373.098,539.583,278.83,119.584,449.806,313.573,137.483,476.935,212.152,80.9432,516.719,435.595,85.1013,201.738,374.34,916.216,230.073,313.607,512.876,353.915,318.362,496.807,226.874,336.182,376.578,239.032,300.065,121.449,332.105,325.562,138.182,309.14,224.159,77.2471,269.436,451.158,84.0567,,,,,,,,,,,,,,,
3,0,242.891,408.695,1039.22,312.54,244.691,1068.38,438.469,236.666,1070.14,537.441,402.91,1038.82,571.832,351.208,911.771,537.801,307.677,513.043,421.214,318.308,490.179,539.071,334.479,373.098,539.583,278.83,119.584,449.802,313.58,137.464,476.971,212.151,80.9478,516.732,435.586,85.1054,201.729,374.309,916.222,230.073,313.607,512.876,353.898,318.31,496.821,226.884,336.204,376.586,239.045,300.055,121.448,332.107,325.528,138.204,309.14,224.159,77.2471,269.435,451.148,84.0574,,,,,,,,,,,,,,,
4,0,242.891,408.692,1039.23,312.513,244.674,1068.39,438.496,236.65,1070.15,537.406,402.878,1038.81,571.8,351.206,911.76,537.801,307.653,513.064,421.213,318.332,490.156,539.073,334.463,373.099,539.583,278.83,119.584,449.779,313.546,137.487,476.953,212.138,80.9495,516.702,435.58,85.089,201.692,374.268,916.251,230.058,313.602,512.893,353.885,318.321,496.801,226.915,336.2,376.566,239.032,300.065,121.449,332.08,325.556,138.197,309.154,224.151,77.2524,269.432,451.137,84.0613,,,,,,,,,,,,,,,
5,0,242.875,408.652,1039.23,312.537,244.644,1068.39,438.496,236.649,1070.14,537.409,402.879,1038.82,571.807,351.176,911.759,537.802,307.653,513.065,421.2,318.325,490.181,539.072,334.447,373.113,539.586,278.815,119.583,449.775,313.553,137.467,476.972,212.149,80.947,516.71,435.588,85.1144,201.695,374.253,916.249,230.105,313.581,512.872,353.918,318.326,496.824,226.875,336.178,376.593,239.122,300.019,121.411,332.079,325.556,138.198,309.145,224.138,77.265,269.417,451.144,84.0613,,,,,,,,,,,,,,,
6,0,242.862,408.655,1039.24,312.52,244.612,1068.38,438.459,236.618,1070.13,537.392,402.862,1038.82,571.772,351.18,911.758,537.796,307.655,513.075,421.203,318.326,490.184,539.059,334.434,373.107,539.589,278.806,119.583,449.805,313.574,137.483,476.973,212.147,80.9465,516.721,435.566,85.0965,201.697,374.238,916.248,230.162,313.597,512.803,353.851,318.352,496.814,226.877,336.194,376.574,239.213,299.995,121.354,332.092,325.58,138.204,309.13,224.141,77.2818,269.418,451.154,84.0624,,,,,,,,,,,,,,,
7,0,242.844,408.628,1039.23,312.514,244.608,1068.36,438.492,236.586,1070.13,537.371,402.856,1038.82,571.803,351.165,911.765,537.803,307.652,513.065,421.222,318.311,490.188,539.061,334.435,373.106,539.589,278.796,119.581,449.774,313.553,137.466,476.974,212.145,80.9456,516.707,435.582,85.0922,201.693,374.187,916.234,230.172,313.52,512.827,353.885,318.295,496.824,226.885,336.205,376.585,239.265,299.969,121.299,332.091,325.579,138.204,309.145,224.157,77.2367,269.43,451.152,84.0628,,,,,,,,,,,,,,,
8,0,242.827,408.579,1039.23,312.505,244.563,1068.36,438.492,236.586,1070.13,537.343,402.852,1038.82,571.774,351.149,911.766,537.803,307.652,513.065,421.223,318.312,490.192,539.075,334.444,373.109,539.603,278.786,119.564,449.778,313.547,137.486,476.975,212.143,80.945,516.693,435.57,85.0919,201.729,374.207,916.221,230.137,313.541,512.834,353.904,318.311,496.826,226.863,336.189,376.593,239.184,299.993,121.377,332.091,325.579,138.204,309.135,224.154,77.231,269.434,451.162,84.0619,,,,,,,,,,,,,,,
9,0,242.836,408.566,1039.21,312.502,244.548,1068.36,438.465,236.556,1070.13,537.334,402.861,1038.8,571.775,351.131,911.764,537.806,307.633,513.069,421.196,318.282,490.198,539.057,334.445,373.121,539.624,278.784,119.585,449.758,313.565,137.485,476.958,212.128,80.9468,516.702,435.577,85.0934,201.72,374.16,916.214,230.125,313.497,512.858,353.874,318.269,496.821,226.915,336.186,376.565,239.426,299.95,121.201,332.076,325.554,138.199,309.153,224.129,77.2507,269.43,451.15,84.0627,,,,,,,,,,,,,,,
