Trajectories
100
,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11,0,292.305,371.792,917.45,346.356,197.614,986.169,451.974,197.502,993.941,527.139,362.961,924.117,576.075,301.318,840.359,552.157,276.734,470.183,447.837,270.337,456.028,541.776,293.6,371.75,535.46,219.75,124.666,464.482,255.749,132.9,477.285,165.507,92.9849,536.968,368.505,79.6646,239.983,295.787,844.296,259.174,269.048,472.967,361.83,254.652,465.818,271.233,282.466,374.277,272.852,213.252,124.43,349.294,238.006,128.684,328.973,151.333,83.9236,280.675,353.683,81.1544
12,0,292.312,371.812,917.44,346.369,197.636,986.172,452.001,197.53,993.937,527.152,362.99,924.099,576.064,301.346,840.338,552.154,276.744,470.198,447.872,270.357,456.022,541.803,293.633,371.773,535.463,219.741,124.663,464.508,255.774,132.898,477.283,165.494,92.9886,536.962,368.499,79.6523,240.02,295.81,844.315,259.161,269.063,472.971,361.831,254.652,465.817,271.193,282.465,374.288,272.864,213.252,124.437,349.295,238.006,128.683,328.979,151.32,83.9288,280.674,353.68,81.1535
13,0,292.326,371.859,917.439,346.346,197.67,986.164,451.964,197.568,993.947,527.134,363.03,924.098,576.054,301.356,840.317,552.142,276.739,470.164,447.849,270.418,455.995,541.79,293.637,371.721,535.468,219.728,124.659,464.509,255.775,132.897,477.249,165.491,93.0059,536.964,368.512,79.6564,239.964,295.826,844.333,259.163,269.064,472.97,361.858,254.683,465.821,271.201,282.474,374.302,272.864,213.25,124.437,349.281,238.016,128.658,328.978,151.316,83.926,280.658,353.668,81.1551
14,0,292.33,371.875,917.438,346.356,197.728,986.148,451.988,197.597,993.944,527.126,363.036,924.086,576.052,301.372,840.317,552.151,276.759,470.196,447.889,270.337,456.025,541.805,293.622,371.759,535.469,219.719,124.654,464.51,255.777,132.895,477.269,165.478,92.9967,536.975,368.501,79.657,239.999,295.86,844.32,259.169,269.082,472.968,361.832,254.652,465.815,271.224,282.507,374.294,272.865,213.254,124.436,349.296,237.997,128.705,328.979,151.31,83.9249,280.687,353.667,81.1517
15,0,292.335,371.897,917.439,346.353,197.749,986.144,452.015,197.614,993.941,527.13,363.07,924.074,576.042,301.403,840.311,552.109,276.777,470.14,447.886,270.341,456.024,541.789,293.637,371.722,535.466,219.721,124.654,464.509,255.776,132.896,477.255,165.477,93.0076,536.969,368.496,79.645,240.004,295.866,844.303,259.166,269.08,472.969,361.832,254.652,465.815,271.222,282.49,374.296,272.865,213.25,124.437,349.283,238.017,128.657,328.972,151.316,83.9335,280.663,353.673,81.14
16,0,292.327,371.909,917.429,346.385,197.789,986.134,451.995,197.641,993.957,527.135,363.067,924.067,576.052,301.395,840.334,552.133,276.771,470.161,447.856,270.409,455.997,541.796,293.64,371.733,535.471,219.719,124.656,464.533,255.764,132.888,477.249,165.48,93.0103,536.975,368.5,79.6571,239.975,295.892,844.325,259.167,269.081,472.969,361.858,254.7,465.844,271.221,282.49,374.296,272.863,213.249,124.439,349.296,237.997,128.705,328.975,151.313,83.9372,280.665,353.677,81.1392
17,0,292.343,371.921,917.438,346.373,197.783,986.159,452.026,197.654,993.949,527.119,363.107,924.062,576.04,301.419,840.31,552.107,276.782,470.148,447.9,270.391,456.021,541.793,293.648,371.714,535.469,219.721,124.656,464.483,255.75,132.9,477.256,165.492,92.9777,536.97,368.495,79.6454,239.975,295.892,844.324,259.152,269.098,472.99,361.831,254.669,465.839,271.203,282.491,374.302,272.896,213.268,124.418,349.297,238.007,128.68,328.967,151.329,83.897,280.673,353.676,81.1527
18,0,292.323,371.925,917.442,346.376,197.794,986.155,452.026,197.669,993.945,527.142,363.095,924.054,576.039,301.42,840.308,552.144,276.803,470.148,447.853,270.413,455.993,541.796,293.64,371.733,535.471,219.719,124.656,464.521,255.788,132.876,477.242,165.49,93.0098,536.971,368.497,79.6456,239.975,295.892,844.324,259.15,269.094,472.962,361.858,254.7,465.844,271.24,282.516,374.272,272.894,213.267,124.42,349.317,238.025,128.684,328.965,151.329,83.9101,280.673,353.676,81.1526
19,0,292.325,371.926,917.443,346.378,197.836,986.144,452.023,197.673,993.959,527.114,363.112,924.05,576.05,301.411,840.334,552.168,276.796,470.168,447.853,270.412,455.994,541.814,293.638,371.736,535.468,219.719,124.654,464.519,255.784,132.88,477.235,165.478,93.0142,536.983,368.497,79.6699,239.97,295.887,844.34,259.17,269.087,472.956,361.858,254.7,465.844,271.24,282.516,374.273,272.899,213.267,124.416,349.296,237.997,128.705,328.969,151.318,83.9299,280.674,353.677,81.1531
20,0,292.333,371.932,917.428,346.381,197.808,986.161,452.021,197.668,993.951,527.159,363.121,924.052,576.049,301.412,840.332,552.152,276.787,470.164,447.87,270.365,456.029,541.796,293.64,371.733,535.471,219.719,124.656,464.508,255.774,132.898,477.247,165.479,93.0043,536.977,368.503,79.6575,239.975,295.892,844.325,259.173,269.091,472.984,361.858,254.7,465.844,271.224,282.506,374.295,272.856,213.244,124.429,349.297,238.007,128.68,328.973,151.328,83.9095,280.64,353.67,81.1559
