Trajectories
100
,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,IMUMode2:LASI,,,IMUMode2:LPSI,,,IMUMode2:RPSI,,,IMUMode2:RASI,,,IMUMode2:RHIP,,,IMUMode2:RKNE,,,IMUMode2:RKNE2,,,IMUMode2:RTIB,,,IMUMode2:RANK,,,IMUMode2:RANK2,,,IMUMode2:RHEE,,,IMUMode2:RTOE,,,IMUMode2:LHIP,,,IMUMode2:LKNE,,,IMUMode2:LKNE2,,,IMUMode2:LTIB,,,IMUMode2:LANK,,,IMUMode2:LANK2,,,IMUMode2:LHEE,,,IMUMode2:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
18,0,-73.6369,5.94692,52.665,6.1328,5.90684,52.7845,166.477,6.22556,52.6656,6.56115,126.779,52.6455,6.30866,246.837,52.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,-73.6438,5.97065,52.6614,6.1443,5.90817,52.7913,166.473,6.24337,52.6721,6.55051,126.773,52.6482,6.30252,246.848,52.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,-73.6255,5.97168,52.6621,6.14616,5.91417,52.78,166.474,6.23315,52.6888,6.54261,126.769,52.65,6.29672,246.846,52.7371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,-73.5945,5.95201,52.6491,6.15189,5.90377,52.791,166.482,6.24258,52.6772,6.53501,126.766,52.6538,6.29279,246.837,52.7391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,-73.6635,5.95107,52.674,6.13777,5.90588,52.7825,166.467,6.23686,52.6738,6.56226,126.773,52.6376,6.28508,246.82,52.7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,-73.6269,5.96992,52.6443,6.13491,5.9047,52.7951,166.48,6.24508,52.6713,6.56115,126.779,52.6455,6.28977,246.835,52.7579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,-73.5978,5.96015,52.6373,6.14362,5.90853,52.7823,166.471,6.22493,52.6502,6.5627,126.786,52.6423,6.32282,246.853,52.7409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,-73.6344,5.96034,52.6564,6.13731,5.90902,52.7913,166.505,6.22904,52.6637,6.55089,126.767,52.6575,6.28632,246.828,52.7415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,-73.6195,5.95934,52.6498,6.13483,5.90571,52.7868,166.493,6.24791,52.6826,6.56639,126.787,52.6333,6.29717,246.824,52.7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,-73.6114,5.94559,52.6475,6.14343,5.92384,52.7827,166.488,6.22201,52.7099,6.56238,126.786,52.6439,6.3066,246.838,52.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
