Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.13916,-4.70552,-2.15291,-37.1099,-10920.7,1133.92,627.239,230.556,594.28,0,13.2152,-11.6859,-94.7796,27177.6,-3073,4060.38,567.577,733.255,0
1,1,0.0918579,-4.84105,-2.20305,-38.5688,-10932.9,1121.17,601.174,229.069,583.465,0,13.327,-11.4404,-93.7598,27107.9,-3050.15,4090.79,567.468,730.88,0
1,2,0.0881958,-4.64703,-2.31349,-38.2794,-11094.1,1061.52,602.1,227.731,589.819,0,13.1218,-11.6824,-92.7502,27076.3,-2973.91,4096.08,567.936,728.073,0
1,3,0.105591,-4.67719,-2.48528,-38.4434,-11164.5,986.134,596.629,225.652,590.414,0,13.158,-11.8425,-92.7878,27429.4,-2923.6,4080.13,568.492,724.385,0
1,4,0.117798,-4.64768,-2.39105,-38.9885,-11105.3,1077.45,557.958,227.635,584.836,0,13.0647,-11.5139,-93.2714,27395,-2980.33,4088.42,568.047,726.287,0
1,5,0.0592041,-4.64144,-2.43193,-38.4256,-11136.5,1078.93,572.112,228.078,589.82,0,13.0039,-11.3456,-94.1129,27241.2,-2944.83,4061.54,568.71,730.548,0
1,6,0.110474,-4.48406,-2.2345,-38.2199,-11138.6,1174.94,546.67,230.742,591.434,0,13.2816,-11.3263,-93.1023,27200.5,-3012.41,4123.23,567.644,727.843,0
1,7,0.100708,-4.48495,-2.26221,-38.8,-11223,1179.33,525.049,230.395,589.254,0,13.1313,-11.6338,-94.0137,27203.2,-3012.77,4134.21,567.954,730.646,0
1,8,0.13092,-4.51964,-2.3268,-38.471,-11118.6,1058.41,554.771,227.512,589.013,0,12.9886,-11.4404,-94.7183,27195.3,-3030.42,4126.56,568.006,732.882,0
1,9,0.0872803,-4.683,-2.21875,-36.9447,-11076.4,1088.35,613.193,229.459,599.81,0,13.2245,-11.4617,-94.9865,27283.9,-3073.49,4092.81,567.643,732.761,0
2,0,0.0909424,-4.77146,-2.21337,-37.736,-11064.7,1212.55,574.999,232.132,593.214,0,13.0496,-11.5661,-94.3433,27276.9,-2994.83,4052.77,568.256,730.876,0
2,1,0.0857544,-4.62612,-2.33914,-37.7007,-11049.8,1150.97,466.235,230.529,593.094,0,13.0913,-11.713,-93.5772,27192.3,-2954.41,4064.82,568.428,729.413,0
2,2,0.0793457,-4.79355,-2.36856,-37.4604,-11015.9,1063.21,523.577,228.382,594.067,0,13.2607,-11.7384,-93.3703,27154.4,-3034.83,4089.68,567.497,729.175,0
2,3,0.143127,-4.8586,-2.12935,-38.6313,-11162.6,1129.25,615.31,229.231,588.952,0,13.2454,-11.6607,-93.0795,27178.9,-3124.1,4078.82,566.436,728.003,0
2,4,0.0906372,-4.55938,-1.97543,-37.3471,-11185.8,1210.06,546.928,232.4,599.508,0,13.2246,-11.6285,-92.8109,27211.6,-3072.81,4086.42,566.892,726.806,0
2,5,0.0793457,-4.66324,-2.18727,-36.9629,-11151.8,1174.15,525.35,231.766,601.704,0,13.0136,-11.3936,-93.744,27171.1,-3051.99,4104.85,567.443,730.156,0
2,6,0.0881958,-4.51466,-2.43531,-38.3635,-11120.6,1098.46,569.728,228.633,589.874,0,13.0756,-11.6551,-95.3604,27091.4,-3067.59,4108.17,567.832,735.905,0
2,7,0.0811768,-4.37592,-2.47942,-39.4423,-11005.6,1034.01,596.656,226.216,579.031,0,13.0959,-11.7651,-95.4632,26950.2,-3041.22,4082.14,568.142,737.69,0
2,8,0.141602,-4.59631,-2.26794,-39.6819,-11044.4,1103.24,557.834,227.802,578.324,0,12.7925,-11.8121,-94.4273,27109.1,-3020.08,4090.95,568.017,732.911,0
2,9,0.085144,-4.79244,-2.0575,-38.3599,-11081.4,1055.32,579.519,227.511,588.879,0,13.127,-11.362,-92.9762,27225.2,-3006.01,4111.32,567.669,727.181,0
3,0,0.0769043,-4.77012,-2.22256,-38.2771,-11090.9,1001.61,549.515,226.167,589.753,0,13.3482,-11.1631,-92.6449,27259.8,-3021.23,4109.02,567.389,725.761,0
3,1,0.0915527,-4.44021,-2.5016,-38.1534,-11043.9,1098.6,536.507,228.794,589.46,0,13.1887,-11.4405,-94.2617,27248,-2935.56,4106.99,568.857,730.933,0
3,2,0.0918579,-4.37977,-2.48954,-38.4311,-11122.1,1169.18,579.791,230.423,589.405,0,12.9983,-11.3882,-92.8729,27379.4,-2946.15,4041.89,568.278,725.195,0
3,3,0.112915,-4.60677,-2.36096,-38.5087,-11262.9,1165.78,564.859,230.273,592.478,0,13.0908,-11.4248,-92.0856,27433.5,-3008.48,4087.44,567.33,722.086,0
3,4,0.111389,-4.43298,-2.2155,-39.3622,-11133.9,1185.07,580.489,230.107,582.858,0,13.2608,-11.5138,-92.2711,27264,-3006.96,4107.02,567.412,724.523,0
3,5,0.112305,-4.44955,-2.34566,-39.9902,-11143,1193.55,611.927,229.846,578.643,0,13.1373,-11.5661,-92.9979,27269.5,-3067.35,4034.31,567.017,726.772,0
3,6,0.11261,-4.32179,-2.21099,-39.4107,-11218.6,1145.02,534.746,229.054,584.66,0,13.1423,-11.4197,-91.816,27231.1,-2964.25,4068.95,567.715,723.416,0
3,7,0.115356,-4.32422,-2.01074,-37.7039,-11105.3,1107.63,514.984,229.377,594.539,0,13.2248,-11.5761,-92.3331,27235,-3074.75,4118.98,566.699,725.035,0
3,8,0.102234,-4.52063,-2.04645,-37.1703,-11111,1166.92,557.69,231.394,598.921,0,12.942,-11.6975,-93.9498,27282.3,-3053.41,4097.37,567.5,729.607,0
3,9,0.112305,-4.68575,-2.20934,-39.0833,-11117,1086.91,494.896,227.81,584.445,0,12.7563,-11.3407,-94.2003,27333.6,-2999.57,4104.89,568.158,729.835,0
4,0,0.123596,-4.73745,-2.06976,-39.3285,-11129.6,1122.98,556.068,228.554,582.991,0,13.039,-11.4358,-93.3703,27290.8,-3080.18,4115.71,567.011,727.715,0
4,1,0.126038,-4.57549,-2.11148,-38.1536,-11067.9,1192.13,655.617,231.245,590.088,0,13.1532,-11.4134,-93.3703,27214.9,-3049.2,4115.67,567.343,728.527,0
4,2,0.107727,-4.68393,-2.3425,-37.9933,-10946.2,1179.99,632.081,231.058,588.109,0,12.9468,-11.76,-93.2257,27298.3,-3005.08,4085.56,567.766,727.18,0
4,3,0.10376,-4.76827,-2.40606,-37.4429,-11002.5,1083.97,625.786,228.95,593.846,0,13.1263,-11.7281,-93.8852,27362.5,-3035.48,4072.24,567.668,728.553,0
4,4,0.0866699,-4.62413,-2.50098,-37.7196,-11117.1,1096.93,543.98,229.081,594.731,0,13.3842,-11.6141,-94.5539,27383.1,-3080.07,4130.81,567.425,730.397,0
4,5,0.0775146,-4.60687,-2.64421,-38.0856,-11244.6,1104.99,597.976,229.013,595.245,0,13.2766,-11.3722,-93.1447,27303.9,-3077.01,4099.56,566.965,726.866,0
4,6,0.139465,-4.62717,-2.39778,-38.4937,-11361.9,1192.97,613.046,230.991,595.164,0,13.1935,-11.5136,-93.18,27153.6,-3078.25,4068.82,566.964,728.59,0
4,7,0.09552,-4.82941,-2.43062,-37.5748,-11227.9,1167.07,590.133,231.06,598.815,0,13.2968,-11.6391,-94.2829,27199.6,-3057.15,4126.6,567.575,731.511,0
4,8,0.106506,-4.98343,-2.4794,-38.017,-11027.3,1125.15,539.909,229.596,590.063,0,13.3326,-11.6711,-93.6417,27407.4,-3025.66,4123.27,567.689,727.316,0
4,9,0.10437,-4.66624,-2.04438,-38.6996,-11133.3,1099.6,568.806,228.414,587.685,0,13.3484,-11.5661,-92.7292,27259.4,-2989.16,4141.69,567.765,726.032,0
5,0,0.112915,-4.59214,-2.16625,-38.2955,-11193.7,1192.73,550.317,231.145,592.297,0,13.1892,-11.6026,-93.3238,27280.5,-3143.04,4152.64,566.321,727.679,0
5,1,0.0872803,-4.48444,-2.42669,-39.0716,-11122.3,1185.9,514.241,230.352,584.664,0,13.1418,-11.5093,-94.6353,27413.8,-3099.44,4107.26,567.249,730.322,0
5,2,0.112,-4.70435,-2.49998,-39.5682,-11159.1,1115.09,599.023,228.181,582.021,0,13.2968,-11.2992,-94.283,27343.2,-3032.64,4079.56,567.835,729.988,0
5,3,0.117798,-4.9551,-2.25082,-39.4102,-11259.9,1213.54,663.01,230.793,585.71,0,13.3326,-11.2992,-93.9307,27306.7,-2987.13,4118.93,568.199,729.289,0
5,4,0.115356,-4.92086,-2.07433,-38.2811,-11223.6,1197.12,583.343,231.272,593.189,0,13.2768,-11.4813,-94.0111,27374.6,-3083.69,4089.65,567.199,728.815,0
5,5,0.115967,-4.73325,-2.02216,-38.1501,-11083.6,1136.53,554.112,229.791,590.526,0,13.1218,-11.7441,-93.9946,27420.7,-2996.25,4109.1,568.123,728.274,0
5,6,0.050354,-4.56265,-2.22239,-38.5734,-11171.4,1308.4,536.279,233.92,589.613,0,13.086,-11.8168,-92.9379,27269.6,-2919.94,4145.19,568.582,726.583,0
5,7,0.114441,-4.82792,-2.1612,-38.1393,-11118.1,1299.63,540.354,234.076,591.512,0,13.0701,-11.7039,-92.6012,27308.9,-3082.81,4141.79,566.709,725.091,0
5,8,0.119019,-4.88227,-2.17091,-37.0737,-11023.4,1061.34,554.127,228.628,597.338,0,13.3005,-11.5336,-93.5937,27380.5,-3118.62,4122.42,566.679,727.454,0
5,9,0.123901,-4.90932,-2.32427,-36.7308,-11161.5,1087.15,543.463,229.598,603.874,0,13.3805,-11.7077,-93.5638,27414.3,-3081.22,4078.79,567.068,726.998,0
6,0,0.108948,-4.73886,-2.02484,-37.2962,-11148.8,1007.66,535.639,227.018,598.926,0,13.1218,-11.7278,-93.3205,27354.4,-3061.04,4056.26,567.199,726.877,0
6,1,0.093689,-4.97043,-2.00152,-37.7931,-11116.9,1132.14,547.274,229.956,594.151,0,13.0861,-11.6877,-94.7796,27406.7,-2969.15,4068.72,568.673,730.838,0
6,2,0.0918579,-4.75469,-2.31232,-38.5044,-11130.8,1143.86,587.164,229.707,589.077,0,13.0343,-11.5861,-94.6358,27404.5,-3017.2,4089.01,568.118,730.422,0
