Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
521,0,0.0909424,-58.4384,-20.6379,-550.873,33723.7,25414.7,8601.04,246.135,238.781,0,0,0,0,0,0,0,600,1020,0
521,1,0.0952148,-58.2189,-21.8787,-554.621,33728.5,25569.4,8665.96,246.102,239.186,0,0,0,0,0,0,0,600,1020,0
521,2,0.0741577,-57.6296,-22.7088,-558.18,33729.4,25513.3,8719.48,245.708,239.573,0,0,0,0,0,0,0,600,1020,0
521,3,0.107422,-57.5431,-23.6005,-559.281,33699,25648.1,8829.59,245.859,239.746,0,0,0,0,0,0,0,600,1020,0
521,4,0.0805664,-57.8322,-24.8026,-560.76,33936.4,25930.4,8891.92,246.242,239.481,0,0,0,0,0,0,0,600,1020,0
521,5,0.140991,-57.3235,-25.2714,-564.384,33941.3,26252.9,8924.36,246.516,239.861,0,0,0,0,0,0,0,600,1020,0
521,6,0.105896,-57.0706,-25.8683,-566.911,33983.8,26414.2,9042.7,246.593,240.055,0,0,0,0,0,0,0,600,1020,0
521,7,0.124207,-57.1868,-26.8239,-568.865,33921,26644.7,9121.77,246.838,240.371,0,0,0,0,0,0,0,600,1020,0
521,8,0.124512,-57.1435,-27.6917,-572.113,33718.8,26756.2,9186.05,246.767,241.063,0,0,0,0,0,0,0,600,1020,0
521,9,0.100403,-56.9102,-28.5256,-574.936,33914.7,26816.4,9297.29,246.643,241.011,0,0,0,0,0,0,0,600,1020,0
