Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,0.101318,-21.1297,-1.21912,-363.194,22838.2,30318.5,5190.33,283.477,237.118,0,0,0,0,0,0,0,603,1020,0
1,1,0.112915,-21.108,-1.56695,-363.534,22486.2,30109.9,5278.51,282.826,238.145,0,0,0,0,0,0,0,603,1020,0
1,2,0.055542,-20.5143,-1.12902,-362.841,22587.7,30084.9,5312.48,282.915,237.748,0,0,0,0,0,0,0,603,1020,0
1,3,0.109863,-21.2878,-1.48518,-363.54,22578.6,30085.4,5150.95,282.757,237.893,0,0,0,0,0,0,0,603,1020,0
1,4,0.104065,-20.6889,-1.38677,-363.181,22707.7,30161.7,5170.74,283.049,237.475,0,0,0,0,0,0,0,603,1020,0
1,5,0.0778198,-21.3016,-1.30829,-362.797,22583.9,30085.5,5296.53,282.926,237.75,0,0,0,0,0,0,0,603,1020,0
1,6,0.0823975,-21.13,-1.30032,-361.081,22587.7,30117,5277.06,283.408,237.444,0,0,0,0,0,0,0,603,1020,0
1,7,0.124512,-21.1344,-0.864235,-362.11,22895.6,30319.3,5261.25,283.73,236.772,0,0,0,0,0,0,0,603,1020,0
1,8,0.098877,-20.9528,-1.40008,-362.137,22454.4,30038.2,5275.4,282.947,237.995,0,0,0,0,0,0,0,603,1020,0
1,9,0.110474,-21.3856,-1.65707,-362.84,22696.7,30158.4,5206,283.118,237.447,0,0,0,0,0,0,0,603,1020,0
2,0,0.116272,-21.0392,-1.30093,-363.547,22501.6,30285.8,5258.88,283.307,238.105,0,0,0,0,0,0,0,603,1020,0
2,1,0.134277,-21.2231,-1.04437,-363.523,22934.5,30324.1,5207.61,283.417,236.911,0,0,0,0,0,0,0,603,1020,0
2,2,0.0808716,-21.2932,-1.65966,-362.139,22529.7,30257.6,5241.13,283.552,237.787,0,0,0,0,0,0,0,603,1020,0
2,3,0.0909424,-20.508,-1.20854,-363.894,22843.5,30017.2,5207.25,282.489,237.225,0,0,0,0,0,0,0,603,1020,0
2,4,0.116882,-21.0327,-1.31015,-363.176,22716,30281.8,5207.63,283.38,237.452,0,0,0,0,0,0,0,603,1020,0
2,5,0.0778198,-20.602,-1.56432,-362.49,22958.8,30193.9,5314.64,283.296,236.664,0,0,0,0,0,0,0,603,1020,0
2,6,0.101318,-21.0303,-1.3943,-362.828,22710.1,30109.9,5223.09,282.987,237.408,0,0,0,0,0,0,0,603,1020,0
2,7,0.0866699,-20.6838,-1.57197,-362.863,22658.2,30199.8,5206.84,283.226,237.557,0,0,0,0,0,0,0,603,1020,0
2,8,0.0805664,-20.9405,-1.56961,-364.957,22656.9,30172.9,5297.09,282.675,237.919,0,0,0,0,0,0,0,603,1020,0
2,9,0.0918579,-21.2984,-1.39962,-364.222,22577.6,30117.7,5205.37,282.691,238.011,0,0,0,0,0,0,0,603,1020,0
3,0,0.125427,-21.2099,-1.57668,-362.518,22483,30149.9,5150.52,283.168,237.981,0,0,0,0,0,0,0,603,1020,0
3,1,0.10437,-21.026,-1.57629,-364.56,22401.7,30175.7,5277.1,282.773,238.551,0,0,0,0,0,0,0,603,1020,0
3,2,0.110474,-21.1179,-1.48057,-362.496,22661,30114.8,5186.76,283.076,237.486,0,0,0,0,0,0,0,603,1020,0
3,3,0.102844,-20.6903,-1.38985,-363.171,22532.3,30267,5185.41,283.341,237.957,0,0,0,0,0,0,0,603,1020,0
3,4,0.135193,-21.4788,-1.22342,-362.12,22412.7,30166.9,5132.12,283.306,238.107,0,0,0,0,0,0,0,603,1020,0
3,5,0.0790405,-21.125,-1.39655,-362.834,22446.9,30288.6,5258.2,283.478,238.135,0,0,0,0,0,0,0,603,1020,0
3,6,0.0820923,-21.1262,-1.40732,-363.182,22361.2,30318.3,5204,283.48,238.43,0,0,0,0,0,0,0,603,1020,0
3,7,0.0970459,-21.202,-1.83555,-362.85,22475.3,29939.4,5150.98,282.512,238.059,0,0,0,0,0,0,0,603,1020,0
3,8,0.0476074,-20.9427,-1.21465,-364.234,22457,30000.8,5205.9,282.367,238.345,0,0,0,0,0,0,0,603,1020,0
3,9,0.107727,-21.2119,-1.2135,-363.182,22460.8,30115.6,5259.02,282.921,238.156,0,0,0,0,0,0,0,603,1020,0
4,0,0.09552,-20.9612,-0.946772,-362.812,22769.1,30137.5,5241.93,283.066,237.243,0,0,0,0,0,0,0,603,1020,0
4,1,0.0845337,-21.4842,-1.21675,-361.787,22674.4,30060.5,5240.98,283.089,237.327,0,0,0,0,0,0,0,603,1020,0
4,2,0.0933838,-21.2185,-1.22035,-363.171,22583.3,30184.6,5241.89,283.114,237.817,0,0,0,0,0,0,0,603,1020,0
4,3,0.125122,-21.3931,-1.4005,-362.162,22410,30061.3,5221.42,283.005,238.121,0,0,0,0,0,0,0,603,1020,0
4,4,0.093689,-21.2975,-1.47991,-365.62,22657.9,30424.8,5189.06,283.214,238.029,0,0,0,0,0,0,0,603,1020,0
4,5,0.0958252,-21.198,-1.13194,-363.162,22378,29839.3,5276.28,282.165,238.38,0,0,0,0,0,0,0,603,1020,0
4,6,0.101624,-20.5978,-1.39719,-361.448,22576.7,30125.5,5205.12,283.347,237.538,0,0,0,0,0,0,0,603,1020,0
4,7,0.0582886,-20.9381,-1.65954,-363.188,22482,29959.9,5240.72,282.491,238.098,0,0,0,0,0,0,0,603,1020,0
4,8,0.119019,-20.8531,-1.39011,-363.162,22450.9,29825.6,5240.73,282.128,238.179,0,0,0,0,0,0,0,603,1020,0
4,9,0.108032,-21.2179,-1.13443,-361.432,22504.2,30188.8,5240.95,283.526,237.736,0,0,0,0,0,0,0,603,1020,0
5,0,0.105591,-20.9551,-1.48093,-362.125,22659.7,30141.3,5205.1,283.235,237.426,0,0,0,0,0,0,0,603,1020,0
5,1,0.0958252,-21.3,-1.49052,-362.11,22487.6,30120.5,5241.43,283.181,237.898,0,0,0,0,0,0,0,603,1020,0
5,2,0.135498,-21.0393,-1.66513,-362.149,22439.1,30077.8,5221.45,283.054,238.039,0,0,0,0,0,0,0,603,1020,0
5,3,0.0811768,-21.4803,-1.66251,-363.876,22477.7,30264.7,5187.51,283.173,238.227,0,0,0,0,0,0,0,603,1020,0
5,4,0.0820923,-21.3956,-1.31807,-362.833,22282.8,30192.5,5241.22,283.213,238.587,0,0,0,0,0,0,0,603,1020,0
5,5,0.0946045,-21.4707,-1.66,-363.168,22610.3,29986.1,5240.69,282.568,237.742,0,0,0,0,0,0,0,603,1020,0
5,6,0.0195313,-21.0397,-1.40214,-361.794,22319.1,30184.1,5149.2,283.429,238.31,0,0,0,0,0,0,0,603,1020,0
5,7,0.115662,-21.304,-1.48855,-363.891,22447.9,30291.7,5223.64,283.244,238.311,0,0,0,0,0,0,0,603,1020,0
5,8,0.106812,-21.4016,-1.30277,-363.886,22712.2,30121.9,5242.43,282.778,237.584,0,0,0,0,0,0,0,603,1020,0
5,9,0.101624,-21.9269,-1.22557,-363.551,22588.8,30107.8,5243.15,282.816,237.866,0,0,0,0,0,0,0,603,1020,0
6,0,0.0753784,-21.5614,-1.40269,-363.872,22580.3,29920.9,5295.93,282.229,237.944,0,0,0,0,0,0,0,603,1020,0
6,1,0.134583,-21.0378,-1.66257,-362.489,22522.3,30140.9,5169.63,283.15,237.868,0,0,0,0,0,0,0,603,1020,0
6,2,0.0888062,-21.3819,-1.48585,-362.828,22361.7,30089.4,5258.82,282.93,238.368,0,0,0,0,0,0,0,603,1020,0
6,3,0.104065,-20.8656,-1.30585,-362.851,22535.9,30272.6,5240.53,283.43,237.892,0,0,0,0,0,0,0,603,1020,0
6,4,0.119019,-21.1976,-1.40035,-364.578,22363.5,29837.7,5114.9,281.842,238.659,0,0,0,0,0,0,0,603,1020,0
6,5,0.0802612,-21.2914,-1.759,-362.114,22306.2,30054.9,5240.48,282.998,238.4,0,0,0,0,0,0,0,603,1020,0
