Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,244.417,305.726,1039.9,338.807,118.706,1079.5,453.29,118.226,1082.86,542.064,294.905,1035.92,589.019,228.603,954.083,571.313,186.669,499.466,452.219,208.379,492.169,549.771,234.99,380.214,555,174.907,127.595,466.306,203.914,142.539,493.564,107.985,95.3272,532.252,344.035,92.0613,191.531,244.994,955.901,207.472,193.636,506.111,322.354,217.429,491.783,218.669,236.313,381.238,230.438,192.598,120.326,318.277,221.069,141.925,298.309,121.036,99.7936,248.782,353.71,90.0011,,,,,,,,,,,,,,,
2,0,244.444,305.808,1039.89,338.807,118.762,1079.49,453.282,118.283,1082.86,542.09,294.953,1035.91,589.039,228.636,954.087,571.335,186.704,499.472,452.201,208.393,492.168,549.771,234.99,380.214,555.01,174.886,127.589,466.31,203.923,142.544,493.564,107.985,95.3272,532.247,344.042,92.0722,191.545,245.06,955.893,207.486,193.703,506.097,322.354,217.499,491.782,218.674,236.345,381.237,230.399,192.564,120.352,318.288,221.083,141.938,298.298,121.041,99.8089,248.782,353.71,90.0011,,,,,,,,,,,,,,,
3,0,244.46,305.887,1039.89,338.798,118.822,1079.51,453.308,118.341,1082.86,542.13,295.001,1035.91,589.056,228.687,954.088,571.335,186.704,499.472,452.229,208.423,492.163,549.778,234.992,380.246,555,174.907,127.595,466.291,203.913,142.568,493.575,107.973,95.3221,532.253,344.063,92.0581,191.563,245.145,955.925,207.438,193.779,506.13,322.367,217.525,491.786,218.705,236.407,381.228,230.438,192.598,120.326,318.292,221.086,141.931,298.31,121.048,99.7904,248.782,353.71,90.0011,,,,,,,,,,,,,,,
4,0,244.498,305.939,1039.89,338.799,118.878,1079.5,453.311,118.387,1082.88,542.163,295.07,1035.93,589.049,228.724,954.082,571.36,186.72,499.482,452.229,208.423,492.163,549.771,235.009,380.198,555,174.907,127.595,466.306,203.914,142.539,493.575,107.985,95.3168,532.259,344.068,92.0695,191.604,245.187,955.88,207.414,193.822,506.157,322.361,217.571,491.762,218.692,236.436,381.232,230.438,192.598,120.326,318.31,221.095,141.935,298.298,121.041,99.8089,248.782,353.71,90.0011,,,,,,,,,,,,,,,
5,0,244.481,306.002,1039.91,338.796,118.919,1079.5,453.287,118.428,1082.86,542.178,295.097,1035.93,589.067,228.754,954.065,571.356,186.745,499.458,452.199,208.46,492.166,549.749,235.016,380.18,554.998,174.908,127.595,466.271,203.932,142.568,493.564,107.983,95.3259,532.246,344.067,92.0465,191.588,245.237,955.911,207.429,193.89,506.141,322.36,217.572,491.763,218.695,236.518,381.242,230.439,192.598,120.325,318.306,221.097,141.935,298.297,121.04,99.8094,248.788,353.718,89.9717,,,,,,,,,,,,,,,
6,0,244.498,306.069,1039.9,338.822,118.959,1079.49,453.311,118.455,1082.86,542.22,295.168,1035.9,589.027,228.784,954.023,571.352,186.747,499.492,452.228,208.463,492.189,549.757,235.042,380.184,554.998,174.908,127.595,466.269,203.935,142.569,493.564,107.991,95.3211,532.227,344.074,92.067,191.613,245.312,955.91,207.455,193.975,506.136,322.36,217.643,491.762,218.722,236.555,381.218,230.44,192.597,120.325,318.323,221.08,141.961,298.308,121.049,99.79,248.772,353.706,89.9948,,,,,,,,,,,,,,,
7,0,244.519,306.138,1039.9,338.846,119.016,1079.48,453.336,118.512,1082.86,542.264,295.2,1035.9,589.072,228.821,954.014,571.374,186.788,499.479,452.197,208.5,492.191,549.738,235.059,380.165,554.965,174.907,127.574,466.296,203.968,142.566,493.563,107.985,95.3566,532.231,344.068,92.0602,191.592,245.336,955.941,207.431,194.018,506.161,322.335,217.677,491.738,218.733,236.618,381.216,230.44,192.596,120.325,318.299,221.101,141.933,298.307,121.049,99.7907,248.77,353.704,89.9963,,,,,,,,,,,,,,,
8,0,244.514,306.188,1039.91,338.856,119.057,1079.46,453.358,118.553,1082.85,542.274,295.235,1035.9,589.058,228.868,953.986,571.375,186.804,499.463,452.23,208.561,492.17,549.764,235.062,380.173,554.963,174.925,127.57,466.266,203.94,142.57,493.552,107.979,95.3385,532.221,344.088,92.0663,191.611,245.413,955.931,207.385,194.087,506.173,322.347,217.704,491.743,218.76,236.655,381.192,230.44,192.595,120.326,318.295,221.118,141.933,298.306,121.049,99.7907,248.787,353.727,89.9735,,,,,,,,,,,,,,,
9,0,244.506,306.219,1039.92,338.881,119.083,1079.46,453.357,118.596,1082.85,542.294,295.275,1035.88,589.047,228.886,953.974,571.389,186.843,499.477,452.26,208.588,492.167,549.745,235.084,380.153,554.963,174.926,127.57,466.287,203.949,142.546,493.563,107.992,95.3506,532.218,344.092,92.0415,191.634,245.474,955.93,207.398,194.163,506.179,322.336,217.791,491.762,218.738,236.706,381.211,230.421,192.613,120.347,318.293,221.104,141.933,298.314,121.05,99.7993,248.785,353.715,89.9738,,,,,,,,,,,,,,,
