Trajectories
100
,,GUY:LASI,,,GUY:LPSI,,,GUY:RPSI,,,GUY:RASI,,,GUY:RHIP,,,GUY:RKNE,,,GUY:RKNE2,,,GUY:RTIB,,,GUY:RANK,,,GUY:RANK2,,,GUY:RHEEL,,,GUY:RTOE,,,GUY:LHIP,,,GUY:LKNE,,,GUY:LKNE2,,,GUY:LTIB,,,GUY:LANK,,,GUY:LANK2,,,GUY:LHEEL,,,GUY:LTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11,0,248.703,858.802,973.966,338.789,686.336,1025.22,444.194,689.685,1028.77,527.091,859.044,972.8,577.004,800.785,874.296,554.994,773.766,479.312,442.602,798.76,462.649,542.656,808.823,380.158,531.672,753.28,118.03,457.357,786.311,137.959,470.392,694.003,83.6677,519.24,914.212,84.1713,197.785,795.271,874.354,232.388,771.403,484.976,350.398,793.782,484.412,256.131,809.548,395.529,263.985,751.78,116.973,343.036,771.478,138.275,324.073,685.974,82.9905,291.879,910.442,87.5502
12,0,248.757,858.766,973.941,338.815,686.313,1025.22,444.204,689.673,1028.76,527.119,859.019,972.8,577.003,800.785,874.297,555.001,773.753,479.338,442.601,798.76,462.649,542.656,808.823,380.158,531.673,753.279,118.03,457.379,786.292,137.952,470.389,694.001,83.6682,519.252,914.223,84.1719,197.845,795.26,874.338,232.39,771.384,484.974,350.379,793.8,484.43,256.148,809.52,395.525,264.016,751.756,116.952,343.027,771.498,138.299,324.047,685.994,82.995,291.87,910.434,87.5663
13,0,248.73,858.741,973.957,338.798,686.279,1025.22,444.203,689.649,1028.76,527.102,859.008,972.795,577.002,800.785,874.297,555.001,773.753,479.338,442.591,798.748,462.669,542.667,808.813,380.176,531.686,753.27,118.034,457.357,786.311,137.959,470.374,693.992,83.6717,519.242,914.219,84.1579,197.84,795.209,874.34,232.385,771.381,485.016,350.387,793.792,484.392,256.153,809.526,395.531,264.001,751.72,116.978,343.025,771.504,138.294,324.078,685.973,82.989,291.87,910.434,87.5679
14,0,248.725,858.694,973.977,338.83,686.243,1025.23,444.248,689.649,1028.76,527.134,858.991,972.786,577.031,800.761,874.306,555.001,773.753,479.338,442.612,798.73,462.665,542.667,808.814,380.176,531.671,753.272,118.03,457.363,786.304,137.979,470.371,693.984,83.6675,519.241,914.206,84.1622,197.845,795.191,874.339,232.425,771.373,484.975,350.398,793.781,484.412,256.194,809.518,395.524,263.994,751.724,116.959,343.025,771.504,138.294,324.04,685.99,82.9923,291.847,910.417,87.5862
15,0,248.764,858.646,973.981,338.865,686.216,1025.22,444.23,689.626,1028.77,527.129,858.985,972.797,577.07,800.727,874.335,555.036,773.731,479.35,442.612,798.73,462.665,542.667,808.814,380.177,531.684,753.271,118.034,457.379,786.292,137.952,470.369,693.988,83.6576,519.232,914.203,84.187,197.87,795.16,874.327,232.424,771.354,484.963,350.39,793.79,484.451,256.15,809.494,395.55,263.999,751.714,116.979,343.025,771.504,138.294,324.07,685.964,83.005,291.859,910.428,87.5858
16,0,248.796,858.612,973.973,338.859,686.194,1025.23,444.287,689.602,1028.76,527.169,858.961,972.8,577.099,800.697,874.31,555.031,773.713,479.348,442.618,798.725,462.682,542.665,808.814,380.177,531.668,753.267,118.015,457.366,786.279,137.974,470.381,693.997,83.6543,519.255,914.192,84.1713,197.842,795.117,874.319,232.45,771.33,484.986,350.407,793.765,484.451,256.154,809.478,395.547,264.003,751.715,116.983,343.022,771.492,138.318,324.046,685.989,82.9886,291.834,910.395,87.6122
17,0,248.778,858.572,974,338.888,686.164,1025.23,444.296,689.585,1028.75,527.13,858.992,972.784,577.068,800.72,874.301,555.036,773.711,479.338,442.63,798.715,462.662,542.664,808.803,380.164,531.672,753.264,118.015,457.368,786.277,137.974,470.381,693.997,83.6543,519.246,914.192,84.1866,197.868,795.079,874.331,232.449,771.33,484.986,350.396,793.775,484.43,256.181,809.476,395.523,264.008,751.736,116.973,343.026,771.501,138.295,324.012,685.973,82.9654,291.836,910.381,87.6394
18,0,248.826,858.575,973.978,338.887,686.139,1025.23,444.271,689.575,1028.75,527.116,858.98,972.779,577.068,800.719,874.301,555.022,773.698,479.291,442.641,798.679,462.636,542.671,808.799,380.156,531.676,753.267,118.006,457.368,786.277,137.974,470.393,693.991,83.6684,519.25,914.183,84.1858,197.875,795.068,874.312,232.45,771.31,484.984,350.387,793.737,484.467,256.185,809.483,395.537,264.014,751.717,116.96,342.981,771.508,138.298,324.04,685.936,82.9867,291.83,910.364,87.6724
19,0,248.786,858.527,974.008,338.889,686.116,1025.21,444.315,689.538,1028.74,527.143,858.925,972.759,577.043,800.687,874.285,555.027,773.697,479.28,442.643,798.676,462.693,542.662,808.783,380.155,531.688,753.253,118.021,457.366,786.279,137.974,470.401,693.985,83.6542,519.234,914.194,84.1866,197.895,795.048,874.322,232.451,771.31,484.984,350.434,793.724,484.468,256.214,809.5,395.53,264.01,751.708,116.961,342.946,771.475,138.283,324.049,685.94,82.97,291.841,910.342,87.6874
20,0,248.797,858.514,973.993,338.895,686.092,1025.25,444.305,689.526,1028.75,527.166,858.867,972.786,577.068,800.668,874.254,555.002,773.684,479.272,442.65,798.643,462.67,542.654,808.786,380.164,531.673,753.25,118.007,457.372,786.271,137.93,470.394,693.983,83.6455,519.24,914.202,84.1721,197.867,795.01,874.33,232.448,771.317,485.004,350.415,793.705,484.464,256.196,809.485,395.543,263.967,751.687,116.954,342.938,771.482,138.328,324.042,685.913,82.9807,291.827,910.305,87.727
