53582,171,-4043,-562,-1,18,21
53592,148,-4052,-556,3,2,27
53602,177,-4033,-605,-9,2,20
53612,154,-4039,-590,-10,17,22
53622,151,-4038,-574,-6,8,16
53633,150,-4035,-587,0,2,6
53642,160,-4059,-572,-1,-1,16
53652,154,-4059,-584,-5,1,25
53662,160,-4050,-576,-4,11,23
53672,153,-4029,-568,9,6,30
53682,146,-4037,-574,-5,14,24
53692,145,-4044,-573,-9,9,28
53702,159,-4059,-574,-5,1,21
53712,161,-4055,-597,0,8,31
53722,143,-4030,-588,0,1,35
53732,157,-4058,-590,1,27,21
53742,114,-4054,-542,-7,2,27
53752,146,-4043,-578,-1,-4,20
53762,140,-4039,-582,-8,-6,17
53772,151,-4049,-611,15,-11,17
53782,162,-4054,-595,11,6,17
53792,151,-4059,-578,9,16,20
53803,141,-4050,-569,-1,-4,26
53812,122,-4049,-570,7,-9,18
53822,145,-4033,-596,3,-16,16
53832,141,-4036,-574,10,-12,21
53842,147,-4049,-566,10,-1,9
53852,158,-4047,-597,12,-6,25
53862,158,-4046,-571,2,-7,20
53872,140,-4056,-578,6,-18,19
53882,136,-4045,-601,5,-14,14
53892,148,-4036,-586,-7,-3,10
53902,146,-4056,-561,4,-8,15
53912,144,-4040,-582,5,1,18
53922,165,-4049,-563,-3,5,16
53933,137,-4056,-594,-5,1,18
53942,133,-4050,-549,-4,1,22
53952,142,-4044,-589,4,-7,16
53962,158,-4038,-603,0,5,12
53972,140,-4056,-598,6,-20,29
53982,160,-4058,-588,2,-12,19
53992,146,-4069,-609,1,14,28
54002,121,-4042,-567,-4,-11,23
54012,137,-4045,-583,6,-7,20
54022,147,-4060,-582,5,-9,25
54032,138,-4061,-592,11,-13,27
54042,138,-4029,-573,8,-14,25
54052,147,-4049,-599,8,-14,32
54062,130,-4044,-562,-5,-9,23
54072,119,-4035,-555,22,-28,26
54082,176,-4031,-603,5,-19,34
54092,158,-4056,-581,-30,-43,38
54103,176,-4052,-615,-24,-15,42
54112,105,-4059,-547,-7,9,37
54122,156,-4049,-604,7,-13,40
54132,117,-4062,-582,3,9,43
54142,124,-4052,-572,4,6,32
54152,110,-4043,-592,7,-13,43
54162,140,-4043,-609,3,15,21
54172,104,-4054,-581,9,-16,44
54182,152,-4054,-547,12,-25,30
54192,159,-4045,-600,7,12,31
54202,120,-4050,-559,-7,38,25
54212,127,-4058,-608,17,-41,17
54222,145,-4045,-601,-6,32,19
54232,94,-4057,-575,4,-7,13
54242,146,-4040,-578,10,10,19
54252,128,-4052,-571,7,4,15
54262,121,-4041,-564,13,19,9
54273,118,-4030,-581,10,6,19
54282,128,-4033,-582,5,-7,17
54292,108,-4044,-590,5,2,19
54302,113,-4041,-588,8,-16,16
54312,133,-4052,-579,5,-16,16
54322,140,-4058,-588,10,-19,28
54332,115,-4045,-570,2,-14,26
54342,138,-4055,-612,13,-21,41
54352,124,-4053,-566,11,7,33
54362,127,-4053,-607,10,-3,38
54372,124,-4024,-616,7,4,49
54382,134,-4038,-547,-4,-20,42
54392,163,-4055,-639,-7,33,47
