161602,-150,-4037,-673,8,8,16
161612,-146,-4039,-677,15,-11,9
161623,-160,-4048,-690,-4,-4,9
161632,-159,-4024,-675,-12,-24,13
161642,-179,-4019,-665,4,3,5
161652,-155,-4036,-692,5,-6,-1
161662,-147,-4030,-679,0,1,3
161672,-159,-4014,-673,5,8,7
161682,-141,-4021,-670,1,15,6
161692,-157,-4030,-667,10,6,3
161702,-173,-4030,-663,9,-2,5
161712,-148,-4038,-666,-3,-5,10
161722,-153,-4036,-644,2,-7,13
161732,-160,-4028,-678,3,-8,11
161742,-158,-4051,-668,3,-11,1
161752,-157,-4025,-681,10,6,9
161762,-173,-4022,-664,5,3,9
161772,-159,-4040,-668,1,14,14
161782,-177,-4033,-656,2,-1,7
161793,-153,-4033,-684,6,0,1
161802,-150,-4034,-668,2,-1,-7
161812,-154,-4037,-667,-2,3,1
161822,-169,-4029,-653,4,7,3
161832,-158,-4025,-664,6,2,4
161842,-158,-4042,-678,1,6,3
161852,-170,-4031,-668,6,6,3
161862,-166,-4034,-667,6,11,-3
161872,-156,-4040,-676,1,8,-1
161882,-161,-4029,-676,-2,7,-2
161892,-144,-4020,-684,-11,6,-1
161902,-162,-4034,-670,-1,2,5
161912,-149,-4043,-686,1,7,5
161922,-160,-4035,-673,7,1,1
161932,-165,-4038,-679,3,3,0
161942,-158,-4020,-665,1,-6,2
161952,-164,-4032,-679,4,-11,1
161963,-160,-4037,-667,11,-3,-1
161972,-146,-4023,-689,2,-3,2
161982,-158,-4028,-649,3,-14,13
161992,-169,-4039,-663,11,-11,10
162002,-154,-4036,-663,1,-10,7
162012,-151,-4027,-684,7,-2,10
162022,-186,-4033,-676,0,-4,6
162032,-162,-4029,-663,1,-1,12
162042,-153,-4024,-681,10,0,15
162052,-154,-4026,-674,3,-5,20
162062,-167,-4036,-685,7,-19,16
162072,-157,-4035,-657,14,-22,18
162082,-140,-4033,-686,0,-10,15
162093,-146,-4029,-653,9,-5,21
162102,-163,-4032,-671,1,-2,15
162112,-160,-4023,-679,17,-14,13
162122,-178,-4028,-694,1,-2,18
162132,-151,-4039,-669,4,-1,12
162142,-163,-4032,-660,7,-11,7
162152,-174,-4038,-665,-3,5,10
162162,-151,-4035,-698,1,1,6
162172,-155,-4027,-674,-2,-10,15
162182,-168,-4013,-681,1,-2,7
162192,-155,-4040,-678,4,-7,6
162202,-189,-4035,-653,5,-5,6
162212,-165,-4039,-673,-4,-8,6
162222,-171,-4034,-678,10,1,8
162232,-166,-4036,-649,10,13,-4
162242,-182,-4025,-656,11,-3,7
162252,-172,-4022,-668,1,-3,-3
162263,-172,-4024,-644,4,-3,9
162272,-162,-4029,-656,2,-3,9
162282,-183,-4037,-677,12,0,6
162292,-158,-4027,-662,7,-4,0
162302,-169,-4056,-683,-2,0,-1
162312,-170,-4040,-665,1,-3,-7
162322,-183,-4022,-668,-2,-4,0
162332,-158,-4028,-680,11,-1,-4
162342,-177,-4038,-679,-2,3,-3
162352,-163,-4043,-664,8,4,-5
162362,-156,-4042,-682,5,8,-12
162372,-163,-4046,-664,13,15,1
162382,-165,-4046,-688,5,2,5
162392,-164,-4024,-687,7,1,3
162402,-156,-4032,-651,13,-6,-3
162412,-152,-4039,-657,-9,-15,1
162422,-163,-4037,-656,13,-2,0
162433,-162,-4044,-672,11,2,-1
162442,-161,-4054,-672,10,13,8
162452,-182,-4039,-674,1,1,17
162462,-164,-4018,-667,8,3,10
162472,-172,-4049,-660,12,0,10
162482,-174,-4024,-678,0,0,8
162492,-165,-4044,-673,10,5,15
162502,-172,-4018,-683,4,8,4
162512,-175,-4038,-645,0,0,10
162522,-160,-4034,-689,3,2,12
162532,-172,-4045,-641,0,3,8
162542,-155,-4029,-654,9,24,8
162552,-172,-4057,-694,7,12,4
162562,-163,-4030,-682,8,14,9
162572,-154,-4038,-666,9,11,7
162582,-170,-4031,-662,8,-2,7
162592,-161,-4035,-687,8,-1,-3
162603,-166,-4022,-664,4,11,10
162612,-164,-4035,-661,6,10,3
162622,-167,-4019,-668,13,12,6
162632,-160,-4021,-691,6,9,-8
162642,-170,-4048,-651,12,9,-3
162652,-165,-4037,-659,-2,12,-8
162662,-162,-4038,-653,8,7,-8
162672,-172,-4049,-668,10,15,-9
162682,-171,-4025,-664,7,7,-4
162692,-154,-4048,-661,1,13,-7
162702,-183,-4030,-664,2,2,4
162712,-157,-4033,-677,16,-9,-17
162722,-164,-4014,-652,9,-10,6
162733,-162,-4038,-663,-2,-5,-6
162742,-164,-4048,-654,15,-20,6
162752,-153,-4025,-669,8,-16,1
162762,-167,-4023,-686,7,-1,-2
162772,-154,-4029,-670,8,-22,3
162782,-155,-4042,-679,12,-9,11
162792,-167,-4024,-650,10,-9,7
162802,-162,-4023,-670,12,-8,19
162812,-172,-4042,-674,4,-8,4
162822,-163,-4040,-671,7,-14,15
162832,-165,-4018,-659,12,-11,6
162842,-158,-4020,-651,8,-22,9
