Devices
1000
,,Sensors - Force,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,Imported AMTI 400600 V1.0 - Force,,,Imported AMTI 400600 V1.0 - Moment,,,Imported AMTI 400600 V1.0 - CoP,,,
Frame,Sub Frame,FP3,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
870,0,0.111389,-24.1586,-10.4531,-552.266,-37480.1,40203.2,1896.16,272.797,367.866,0,0,0,0,0,0,0,600,1020,0
870,1,0.120239,-24.2488,-11.4276,-552.25,-37651.8,40135.8,1895.32,272.677,368.179,0,0,0,0,0,0,0,600,1020,0
870,2,0.111084,-24.1576,-11.1836,-552.25,-37687,39959.7,1857.39,272.358,368.243,0,0,0,0,0,0,0,600,1020,0
870,3,0.148926,-24.3332,-11.0941,-552.958,-37726,40032.1,1946.09,272.396,368.226,0,0,0,0,0,0,0,600,1020,0
870,4,0.0854492,-24.6081,-11.0062,-552.599,-37849.7,40112.1,1893.95,272.588,368.494,0,0,0,0,0,0,0,600,1020,0
870,5,0.0689697,-24.6085,-11.4497,-551.209,-37913.1,40009.4,1891.08,272.585,368.782,0,0,0,0,0,0,0,600,1020,0
870,6,0.117188,-24.4353,-11.006,-550.48,-37767.9,40038.6,2000.27,272.734,368.609,0,0,0,0,0,0,0,600,1020,0
870,7,0.102234,-24.7923,-11.113,-551.884,-38327.2,39975.6,1890.34,272.435,369.448,0,0,0,0,0,0,0,600,1020,0
870,8,0.0921631,-24.9652,-11.3657,-551.199,-37914.8,40090,1946.61,272.732,368.786,0,0,0,0,0,0,0,600,1020,0
870,9,0.0933838,-25.2274,-12.084,-550.849,-38065.9,39895.6,1963.19,272.426,369.104,0,0,0,0,0,0,0,600,1020,0
