Trajectories
100
,,XYF:LASI,,,XYF:LPSI,,,XYF:RPSI,,,XYF:RASI,,,XYF:RHIP,,,XYF:RKNE,,,XYF:RKNE2,,,XYF:RTIB,,,XYF:RANK,,,XYF:RANK2,,,XYF:RHEEL,,,XYF:RTOE,,,XYF:LHIP,,,XYF:LKNE,,,XYF:LKNE2,,,XYF:LTIB,,,XYF:LANK,,,XYF:LANK2,,,XYF:LHEEL,,,XYF:LTOE,,,Wand:TFXN,,,Wand:TFORI,,,Wand:TFXP,,,Wand:TFYMid,,,Wand:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,328.803,-593.779,882.661,,,,,,,596.462,-594.662,868.05,652.178,-633.74,774.085,595.821,-680.722,439.939,446.893,-715.25,406.393,567.204,-649.918,338.338,546.772,-681.812,110.651,458.523,-660.019,113.959,544.227,-555.338,71.1446,360.398,-555.139,160.735,277.254,-643.569,800.01,298.174,-650.062,452.558,436.369,-609.472,443.772,298.252,-637.009,360.851,287.273,-711.029,111.302,365.822,-656.877,118.133,350.579,-757.281,71.823,277.705,-559.208,76.9891,331.381,403.156,51.2301,411.267,403.388,51.5405,571.314,403.661,51.859,411.23,523.436,51.5191,410.81,643.634,51.548
11,0,329.413,-593.974,882.704,,,,,,,596.859,-594.79,868.002,652.513,-634.044,773.936,596.012,-680.704,439.753,447.191,-714.893,406.319,567.471,-650.046,338.221,546.859,-681.82,110.652,458.655,-660.166,113.852,542.275,-550.4,74.0686,360.479,-555.11,160.669,277.804,-643.617,800.057,298.215,-649.284,452.653,436.41,-609.088,443.742,298.372,-636.326,360.77,287.294,-710.999,111.355,365.913,-656.9,118.1,350.69,-757.281,71.6749,277.731,-559.204,76.972,331.392,403.141,51.228,411.264,403.384,51.5397,571.316,403.66,51.8697,411.228,523.434,51.517,410.812,643.657,51.5646
12,0,329.854,-594.219,882.83,,,,,,,597.329,-595.053,867.993,652.821,-634.286,773.841,596.12,-680.651,439.558,447.535,-714.621,406.181,567.639,-650.003,338.083,546.983,-681.862,110.684,458.777,-660.229,113.83,542.261,-550.399,74.1227,360.606,-555.12,160.563,278.239,-643.722,800.146,298.432,-648.476,452.555,436.455,-608.713,443.864,298.556,-635.631,360.627,287.26,-710.963,111.476,365.913,-656.842,118.051,350.375,-757.423,72.1042,277.729,-559.168,76.9768,331.396,403.137,51.2334,411.262,403.382,51.5389,571.292,403.648,51.8562,411.228,523.429,51.502,410.805,643.636,51.5568
13,0,330.427,-594.499,882.862,,,,,,,597.983,-595.688,867.925,653.392,-634.656,773.77,596.4,-680.661,439.486,448.076,-714.599,406.007,567.732,-649.958,338.036,547.039,-681.871,110.639,458.802,-660.275,113.836,542.294,-550.404,74.1581,360.76,-555.083,160.437,278.588,-643.873,800.247,298.79,-647.576,452.387,436.481,-608.324,443.797,298.582,-635.138,360.565,287.307,-710.89,111.492,365.937,-656.847,118.014,350.371,-757.415,72.2182,277.683,-559.226,77.0073,331.394,403.132,51.2319,411.258,403.383,51.5464,571.303,403.649,51.8736,411.237,523.421,51.486,410.8,643.633,51.5563
14,0,330.741,-594.719,882.982,,,,,,,598.439,-595.81,867.902,653.791,-634.898,773.709,596.602,-680.574,439.345,448.62,-714.407,405.926,567.759,-649.882,337.991,547.085,-681.917,110.65,458.912,-660.344,113.792,542.27,-550.424,74.1868,360.9,-555.07,160.321,278.994,-643.947,800.27,298.695,-647.016,452.529,436.596,-607.62,443.704,298.853,-634.506,360.387,287.303,-710.885,111.554,365.973,-656.939,117.992,350.188,-757.562,72.387,277.7,-559.184,76.9988,331.385,403.124,51.2244,411.268,403.383,51.5204,571.313,403.63,51.8733,411.227,523.435,51.4987,410.827,643.628,51.5692
15,0,331.254,-594.981,883.022,,,,,,,598.845,-595.938,867.918,654.301,-635.161,773.698,596.772,-680.525,439.212,448.946,-714.359,405.849,567.89,-649.828,337.886,547.184,-681.972,110.695,459.071,-660.393,113.691,542.27,-550.415,74.2406,360.981,-555.06,160.173,279.303,-644.138,800.361,298.607,-646.491,452.655,436.606,-607.15,443.41,298.915,-633.94,360.381,287.29,-710.844,111.58,366.066,-656.846,117.952,350.103,-757.626,72.5563,277.702,-559.193,77.0102,331.384,403.124,51.2255,411.272,403.401,51.5156,571.3,403.65,51.8487,411.225,523.409,51.5127,410.783,643.624,51.5635
16,0,331.805,-595.241,883.078,,,,,,,599.326,-596.492,867.91,654.485,-635.291,773.525,597.139,-680.526,439.147,449.198,-713.81,405.844,567.987,-649.763,337.818,547.246,-681.98,110.646,459.076,-660.41,113.722,542.246,-550.459,74.2403,361.031,-554.948,160.016,279.889,-644.355,800.333,298.944,-645.775,452.576,436.555,-606.843,443.352,298.99,-633.48,360.348,287.332,-710.822,111.603,366.047,-656.866,117.951,350.173,-757.574,72.4978,277.697,-559.171,77.0381,331.385,403.124,51.2244,411.275,403.403,51.53,571.314,403.628,51.8648,411.226,523.435,51.4974,410.802,643.641,51.5563
17,0,332.359,-595.441,883.086,,,,,,,599.883,-597.047,867.886,654.946,-635.506,773.458,597.731,-680.55,439.242,449.522,-713.264,405.885,568.118,-649.591,337.719,547.264,-682.004,110.605,459.092,-660.465,113.697,542.3,-550.489,74.2666,361.199,-554.917,159.958,280.443,-644.539,800.372,299.161,-645.172,452.547,436.529,-606.498,443.273,299.07,-633,360.283,287.294,-710.824,111.665,365.975,-656.821,117.984,350.097,-757.623,72.6012,277.789,-559.169,77.0103,331.391,403.126,51.2313,411.273,403.395,51.5287,571.326,403.637,51.8637,411.237,523.418,51.5123,410.805,643.614,51.5558
18,0,332.815,-595.789,883.168,,,,,,,600.23,-597.102,867.807,655.485,-635.689,773.409,598.152,-680.439,439.279,449.954,-712.759,405.859,568.26,-649.392,337.592,547.348,-682.025,110.598,459.072,-660.422,113.762,542.338,-550.488,74.2521,361.297,-554.793,159.841,280.793,-644.838,800.421,299.472,-644.487,452.442,436.594,-606.218,443.096,299.09,-632.558,360.216,287.338,-710.803,111.69,366.002,-656.92,117.936,350.137,-757.624,72.6469,277.701,-559.213,77.095,331.389,403.119,51.2369,411.26,403.377,51.5361,571.304,403.638,51.8534,411.242,523.426,51.4985,410.809,643.621,51.5611
19,0,333.137,-596.125,883.266,,,,,,,600.699,-597.228,867.82,656.03,-635.942,773.419,598.493,-680.361,439.208,450.316,-712.626,405.785,568.411,-649.398,337.499,547.449,-682.045,110.573,459.221,-660.532,113.652,542.284,-550.526,74.2898,361.378,-554.656,159.697,281.204,-644.991,800.437,299.56,-643.878,452.468,436.67,-606.059,443.06,299.189,-632.021,360.115,287.288,-710.819,111.726,365.975,-656.832,117.981,350.101,-757.643,72.6927,277.677,-559.225,77.1209,331.393,403.128,51.2308,411.265,403.395,51.5319,571.317,403.635,51.8722,411.214,523.409,51.489,410.784,643.625,51.5644
20,0,333.581,-596.511,883.39,,,,,,,601.315,-597.623,867.857,656.349,-636.025,773.266,598.723,-680.218,439.045,450.702,-712.441,405.641,568.784,-649.378,337.31,547.405,-682.054,110.511,459.152,-660.478,113.738,542.256,-550.526,74.2999,361.53,-554.563,159.617,281.857,-645.154,800.331,299.465,-643.416,452.644,436.863,-605.695,443.069,299.311,-631.383,360.024,287.319,-710.756,111.775,365.932,-656.811,117.98,350.344,-757.402,72.5468,277.711,-559.271,77.1532,331.39,403.124,51.2309,411.272,403.384,51.537,571.318,403.639,51.8523,411.217,523.432,51.501,410.797,643.634,51.5634
21,0,334.126,-596.806,883.393,,,,,,,601.891,-597.957,867.783,656.785,-636.167,773.249,598.885,-679.979,438.91,451.062,-712.175,405.372,568.984,-649.278,337.229,547.465,-682.062,110.463,459.076,-660.444,113.83,542.221,-550.549,74.3055,361.652,-554.464,159.519,282.415,-645.432,800.323,299.706,-642.638,452.555,436.877,-605.013,442.793,299.444,-630.73,359.911,287.345,-710.731,111.767,366.009,-656.778,117.954,350.208,-757.531,72.7162,277.7,-559.279,77.1633,331.39,403.125,51.2309,411.264,403.388,51.5227,571.304,403.637,51.8523,411.235,523.42,51.4868,410.805,643.643,51.556
22,0,334.539,-597.12,883.425,,,,,,,602.334,-597.803,867.736,657.412,-636.332,773.201,599.151,-679.884,438.769,,,,569.316,-649.255,337.09,547.504,-682.077,110.431,459.121,-660.448,113.803,461.894,-754.283,72.0944,542.274,-550.589,74.3286,282.768,-645.71,800.372,299.948,-641.855,452.541,437,-604.561,443.061,299.692,-629.961,359.706,287.365,-710.683,111.791,365.974,-656.652,118.005,350.218,-757.503,72.7345,277.68,-559.286,77.1912,331.389,403.123,51.2308,411.269,403.388,51.5435,571.288,403.646,51.8526,411.21,523.419,51.5142,410.79,643.629,51.5769
23,0,335.085,-597.466,883.42,,,,,,,602.755,-598.012,867.654,657.833,-636.474,773.054,599.287,-679.715,438.535,471.336,-670.557,422.798,569.537,-649.144,337.008,547.51,-682.089,110.414,459.091,-660.444,113.819,461.894,-754.283,72.0937,542.255,-550.536,74.3494,283.201,-645.907,800.389,300.181,-641.004,452.533,417.867,-643.351,426.255,299.735,-629.325,359.601,287.417,-710.647,111.84,366.015,-656.547,118.012,350.295,-757.445,72.6835,277.663,-559.281,77.2126,331.392,403.126,51.23,411.255,403.379,51.5457,571.308,403.665,51.836,411.226,523.423,51.4861,410.81,643.643,51.5702
24,0,335.629,-597.743,883.45,,,,,,,603.342,-598.645,867.658,658.176,-636.555,772.996,599.616,-679.594,438.409,471.587,-670.482,422.775,569.667,-649.041,336.983,547.515,-682.07,110.349,459.178,-660.505,113.773,461.885,-754.317,72.1005,542.283,-550.618,74.3214,283.543,-646.141,800.413,300.316,-640.112,452.467,417.959,-642.519,425.921,299.812,-628.547,359.541,287.361,-710.602,111.989,366.102,-656.557,117.898,350.257,-757.467,72.7692,277.653,-559.292,77.2729,331.379,403.138,51.2316,411.263,403.387,51.5071,571.325,403.649,51.8574,411.209,523.431,51.486,410.803,643.635,51.5555
25,0,336.243,-598.032,883.43,,,,,,,603.929,-598.968,867.711,658.685,-636.688,772.995,599.79,-679.459,438.168,471.806,-670.329,422.857,569.935,-649.057,336.918,547.614,-682.1,110.341,459.212,-660.526,113.782,461.919,-754.274,72.0679,542.333,-550.625,74.2531,284.286,-646.31,800.31,300.461,-639.152,452.448,418.153,-641.264,425.925,299.861,-627.82,359.534,287.462,-710.549,112.002,366.105,-656.405,117.953,350.276,-757.454,72.8342,277.634,-559.329,77.2858,331.389,403.129,51.2231,411.252,403.385,51.533,571.29,403.638,51.8675,411.21,523.432,51.4863,410.807,643.644,51.5579
26,0,336.705,-598.307,883.449,,,,,,,604.291,-599.017,867.745,659.14,-636.823,772.804,599.951,-679.337,438.04,471.953,-670.168,422.87,570.048,-648.963,336.889,547.633,-682.124,110.298,459.198,-660.503,113.773,461.936,-754.28,72.0159,542.303,-550.638,74.3273,284.868,-646.497,800.295,300.448,-638.223,452.492,418.259,-639.666,425.923,299.833,-627.074,359.443,287.411,-710.51,112.091,366.107,-656.353,118.016,350.717,-757.109,72.198,277.626,-559.333,77.3055,331.393,403.127,51.2305,411.259,403.391,51.5168,571.308,403.645,51.8374,411.21,523.431,51.4857,410.784,643.617,51.571
27,0,337.29,-598.66,883.452,,,,,,,604.815,-599.138,867.643,659.875,-636.988,772.838,600.462,-679.308,438.069,472.217,-670.089,422.85,570.193,-648.853,336.832,547.662,-682.117,110.274,459.165,-660.498,113.815,461.996,-754.28,71.9692,542.329,-550.683,74.3311,285.181,-646.648,800.275,300.416,-637.258,452.653,418.363,-638.619,425.917,299.816,-626.148,359.379,287.475,-710.458,112.167,366.238,-656.251,117.967,350.666,-757.161,72.3574,277.581,-559.346,77.3713,331.392,403.128,51.2311,411.245,403.384,51.52,571.302,403.636,51.8531,411.204,523.427,51.4753,410.802,643.642,51.5558
28,0,337.869,-598.955,883.446,,,,,,,605.566,-599.391,867.699,660.152,-636.989,772.704,600.948,-679.25,438.119,472.5,-670.181,422.736,570.362,-648.731,336.784,547.733,-682.126,110.291,459.209,-660.542,113.79,461.966,-754.292,71.9082,542.342,-550.656,74.3122,285.631,-646.864,800.276,300.819,-636.024,452.508,418.537,-637.136,425.772,300.03,-625.123,359.117,287.481,-710.387,112.242,366.222,-656.202,117.971,350.676,-757.144,72.4638,277.602,-559.34,77.3857,331.387,403.126,51.2236,411.26,403.384,51.5314,571.287,403.647,51.8539,411.204,523.423,51.502,410.794,643.633,51.563
29,0,338.424,-599.263,883.456,,,,,,,606.118,-599.648,867.734,660.533,-637.091,772.537,601.314,-679.195,438.068,476.15,-675.698,423.871,570.989,-648.808,336.493,547.719,-682.138,110.218,459.195,-660.555,113.812,461.958,-754.302,71.9551,542.311,-550.726,74.3281,286.245,-646.96,800.147,300.999,-634.845,452.44,418.848,-636.002,425.504,300.244,-624.111,358.872,287.573,-710.292,112.285,366.292,-656.097,117.989,350.715,-757.103,72.4575,277.552,-559.382,77.4514,331.376,403.135,51.2322,411.255,403.381,51.5241,571.287,403.645,51.853,411.209,523.431,51.4865,410.79,643.632,51.555
