80852,-291,-4018,-779,12,-3,2
80862,-288,-4000,-790,13,-6,-7
80872,-313,-4016,-778,5,5,-7
80882,-294,-4009,-800,7,5,-8
80892,-304,-4018,-780,19,26,-12
80902,-322,-3989,-755,17,7,-3
80912,-308,-4004,-795,2,10,-3
80922,-299,-3996,-770,9,2,-21
80932,-304,-4004,-777,0,-8,-20
80942,-288,-4009,-776,8,8,-12
80952,-303,-4013,-786,6,-11,-1
80962,-295,-4006,-786,3,-9,-13
80972,-309,-4004,-778,-1,1,0
80983,-285,-3997,-776,15,6,-2
80992,-303,-4008,-778,13,-1,-6
81002,-285,-4001,-788,11,-1,7
81012,-286,-4002,-758,8,8,-8
81022,-299,-3998,-769,8,3,-5
81032,-301,-4004,-777,9,-1,-11
81042,-287,-4005,-777,8,-7,0
81052,-320,-4020,-778,3,-6,-5
81062,-296,-4000,-802,16,-2,-9
81072,-290,-3999,-780,7,12,-3
81082,-305,-4013,-776,11,4,-3
81092,-288,-4009,-778,9,2,-2
81102,-295,-4012,-764,1,-1,-7
81112,-275,-4012,-763,4,3,-4
81122,-298,-3999,-759,9,0,0
81132,-303,-4007,-760,16,5,-9
81142,-300,-3993,-788,6,-8,-4
81153,-276,-4001,-757,3,-7,-6
81162,-302,-4027,-770,5,-9,3
81172,-286,-4003,-774,2,-12,-2
81182,-293,-3995,-769,3,-6,4
81192,-297,-4012,-779,-4,-3,-5
81202,-307,-4003,-768,1,-15,-10
81212,-292,-3997,-772,3,-2,-5
81222,-296,-4008,-791,7,-22,3
81232,-285,-3998,-754,2,-14,11
81242,-266,-4005,-788,-4,-16,4
81252,-293,-4006,-805,1,-18,0
81262,-300,-3999,-777,5,-19,2
81272,-267,-4002,-795,10,-15,7
81282,-290,-3994,-786,1,-17,10
81292,-278,-4012,-782,-1,-9,8
81302,-291,-4000,-769,2,-1,22
81312,-284,-3984,-786,11,-1,7
81323,-306,-4012,-762,8,-10,11
81332,-286,-4000,-773,3,-8,4
81342,-310,-3987,-771,-1,-13,15
81352,-293,-4004,-748,-2,-12,12
81362,-288,-4010,-796,3,0,5
81372,-297,-4002,-762,-5,-6,4
81382,-310,-3996,-765,4,-7,4
81392,-308,-4010,-775,3,0,2
81402,-297,-4026,-770,6,-11,-8
81412,-295,-4007,-767,11,-9,-6
81422,-301,-4009,-766,11,-13,6
81432,-286,-4022,-781,-5,0,-12
81442,-295,-4022,-771,3,8,-9
81453,-307,-4011,-765,7,10,-5
81462,-277,-3992,-759,9,6,-11
81472,-299,-4000,-786,7,7,-15
81482,-283,-4008,-783,5,-3,-18
81492,-284,-4025,-771,-1,3,-13
81502,-283,-4026,-773,5,10,-10
81512,-319,-4001,-773,4,14,-19
81522,-306,-4002,-761,-1,4,-14
81532,-285,-4002,-769,-4,8,-20
81542,-322,-3997,-735,1,30,-16
81552,-287,-4019,-781,-3,-24,-12
81562,-256,-4010,-778,-5,4,5
81572,-284,-3987,-768,-5,8,1
81582,-287,-3998,-777,1,8,7
81592,-291,-4017,-787,2,13,6
81602,-285,-4007,-776,-12,2,12
81612,-294,-4008,-763,-7,0,1
81623,-294,-4018,-798,0,21,5
