Trajectories
100
,,IMUModel:LASI,,,IMUModel:LPSI,,,IMUModel:RPSI,,,IMUModel:RASI,,,IMUModel:RHIP,,,IMUModel:RKNE,,,IMUModel:RKNE2,,,IMUModel:RTIB,,,IMUModel:RANK,,,IMUModel:RANK2,,,IMUModel:RHEE,,,IMUModel:RTOE,,,IMUModel:LHIP,,,IMUModel:LKNE,,,IMUModel:LKNE2,,,IMUModel:LTIB,,,IMUModel:LANK,,,IMUModel:LANK2,,,IMUModel:LHEE,,,IMUModel:LTOE,,,IMUModel:TFXN,,,IMUModel:TFORI,,,IMUModel:TFXP,,,IMUModel:TFYMid,,,IMUModel:TFYP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.638,475.186,51.5564,409.479,475.869,51.8856,569.778,477.374,52.644,408.8,595.962,52.3023,407.473,716.269,52.8127
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.638,475.186,51.5564,409.486,475.873,51.8729,569.785,477.369,52.6327,408.793,595.964,52.3097,407.485,716.279,52.8118
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.626,475.177,51.558,409.467,475.874,51.8664,569.784,477.374,52.6509,408.793,595.964,52.3097,407.492,716.28,52.8186
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.627,475.178,51.5341,409.473,475.874,51.8733,569.778,477.374,52.644,408.788,595.958,52.2984,407.492,716.28,52.8186
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.624,475.174,51.5586,409.459,475.862,51.8737,569.777,477.369,52.6429,408.799,595.961,52.3024,407.486,716.279,52.8123
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.622,475.171,51.5589,409.45,475.859,51.8661,569.782,477.361,52.6311,408.791,595.961,52.3094,407.485,716.281,52.7883
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.644,475.187,51.558,409.448,475.856,51.8653,569.781,477.358,52.6302,408.797,595.959,52.3012,407.467,716.27,52.8205
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.62,475.168,51.5585,409.466,475.866,51.851,569.773,477.359,52.6403,408.79,595.952,52.2902,407.492,716.274,52.801
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.619,475.165,51.5603,409.462,475.854,51.8766,569.779,477.352,52.6286,408.795,595.956,52.3028,407.48,716.28,52.819
10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.616,475.161,51.5617,409.462,475.861,51.8504,569.799,477.334,52.6457,408.769,595.94,52.2997,407.486,716.279,52.8264
11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.614,475.158,51.5612,409.464,475.846,51.8686,569.771,477.35,52.6355,408.786,595.955,52.3104,407.492,716.272,52.8397
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.627,475.168,51.557,409.459,475.857,51.8756,569.769,477.347,52.6358,408.792,595.953,52.3032,407.492,716.278,52.8184
