31982,-533,-3923,-1014,-13,-74,-2
31992,-423,-3963,-1100,5,-17,-9
32002,-472,-3903,-1004,13,27,7
32012,-467,-3941,-1040,-1,-20,-6
32022,-463,-3919,-1038,-14,28,2
32032,-454,-3926,-1046,21,5,-7
32043,-523,-3921,-1051,4,69,0
32052,-527,-3928,-1004,-11,-60,-19
32062,-463,-3948,-1061,-3,-11,-10
32072,-452,-3920,-1028,1,-31,-17
32082,-464,-3920,-1036,8,8,-21
32092,-500,-3934,-1000,-14,13,-10
32102,-485,-3937,-1044,2,-66,-11
32112,-458,-3940,-1069,-1,3,-3
32122,-481,-3923,-1009,3,-19,-9
32132,-454,-3932,-1061,-9,-2,-7
32142,-454,-3932,-1035,13,-17,4
32152,-466,-3943,-1036,-3,0,0
32162,-471,-3899,-1025,0,-1,-9
32173,-500,-3939,-1028,7,-5,-1
32182,-475,-3937,-1016,-5,5,-2
32192,-479,-3937,-1049,-4,7,-2
32202,-476,-3921,-1040,-5,3,-10
32212,-475,-3944,-1031,-6,-4,-8
32222,-464,-3936,-1042,-3,-17,-6
32232,-463,-3925,-1061,-5,3,-3
32242,-480,-3936,-1052,0,9,4
32252,-468,-3935,-1055,-1,21,1
32262,-484,-3927,-1044,-6,9,-7
32272,-475,-3927,-1049,-2,8,-3
32282,-477,-3931,-1050,0,20,-9
32292,-487,-3926,-1050,-2,-1,-11
32302,-473,-3915,-1019,2,3,-6
32312,-477,-3935,-1034,-3,-4,-3
32322,-469,-3924,-1040,6,-2,-11
32332,-479,-3940,-1042,-7,11,-3
32343,-460,-3927,-1043,0,17,0
32352,-467,-3938,-1029,1,12,-6
32362,-463,-3925,-1021,0,21,2
32372,-488,-3925,-1052,-8,-11,-10
32382,-481,-3939,-1013,-4,-4,-15
32392,-479,-3924,-1042,9,-15,-10
32402,-480,-3935,-1055,-2,-2,-15
32412,-471,-3924,-1047,0,-1,-8
32422,-455,-3939,-1044,10,0,5
32432,-473,-3948,-1033,-2,1,-9
32442,-472,-3915,-1048,2,-4,0
32452,-463,-3941,-1048,2,13,-2
32462,-469,-3915,-1045,-2,12,-6
32472,-499,-3946,-1041,5,-4,-7
32482,-475,-3926,-1042,1,-7,-1
32492,-477,-3925,-1051,1,-5,-5
32502,-467,-3941,-1051,-1,-6,-4
32513,-464,-3935,-1038,2,8,-3
32522,-469,-3933,-1030,5,2,-8
32532,-460,-3924,-1032,5,7,-9
32542,-462,-3936,-1032,9,18,-1
32552,-471,-3934,-1044,-2,12,-1
32562,-468,-3936,-1038,9,1,-6
32572,-471,-3923,-1029,8,-1,-6
32582,-471,-3926,-1029,3,-3,-8
32592,-459,-3945,-1044,2,-4,-22
32602,-452,-3925,-1029,0,0,-18
32612,-468,-3930,-1049,5,7,-8
32622,-491,-3916,-1046,5,8,-11
32632,-456,-3937,-1050,7,2,-15
32642,-468,-3933,-1043,6,-4,-14
32652,-472,-3930,-1051,14,10,-19
32662,-470,-3931,-1007,3,-6,-19
32672,-451,-3931,-1053,0,2,-19
32683,-461,-3913,-1033,12,0,-19
32692,-468,-3924,-1036,4,2,-22
32702,-454,-3928,-1028,1,3,-25
32712,-473,-3931,-1061,9,-4,-16
32722,-467,-3927,-1016,4,-3,-20
32732,-461,-3935,-1024,7,-3,-21
32742,-437,-3931,-1033,8,0,-21
32752,-455,-3934,-1050,13,-5,-25
32762,-452,-3934,-1037,13,13,-16
32772,-454,-3943,-1039,6,18,-25
32782,-467,-3932,-1039,10,10,-11
32792,-454,-3949,-1034,8,14,-20
32802,-472,-3931,-1036,11,19,-24
32813,-492,-3936,-1005,7,-1,-23
32822,-459,-3934,-1030,7,-11,-21
32832,-466,-3934,-1034,9,-5,-30
32842,-453,-3917,-1027,1,2,-20
32852,-453,-3948,-1057,2,-1,-16
32862,-451,-3946,-1057,6,3,-21
32872,-453,-3928,-1047,4,10,-22
32882,-457,-3947,-1033,9,5,-14
32892,-450,-3933,-1041,7,-1,-18
32902,-442,-3940,-1054,10,23,-5
32912,-461,-3927,-1019,12,9,-22
32922,-452,-3942,-1040,3,5,-23
32932,-453,-3924,-1037,6,1,-18
32942,-444,-3942,-1048,6,9,-24
32952,-447,-3940,-1042,10,3,-28
32962,-452,-3933,-1015,7,-8,-20
32972,-444,-3931,-1031,7,0,-23
32983,-451,-3910,-1046,9,-6,-25
32992,-455,-3926,-1039,2,4,-33
33002,-439,-3936,-1051,7,7,-31
33012,-440,-3918,-1046,9,4,-24
33022,-456,-3929,-1038,5,3,-25
33032,-440,-3935,-1044,6,2,-24
33042,-465,-3927,-1034,11,-22,-26
33052,-440,-3935,-1023,10,-17,-27
33062,-440,-3936,-1046,5,-9,-29
33072,-451,-3926,-1047,0,-15,-21
33082,-430,-3943,-1026,4,-14,-22
33092,-438,-3943,-1058,17,10,-19
33102,-425,-3949,-1047,10,14,-20
33112,-449,-3949,-1025,26,14,-12
33122,-422,-3935,-1043,12,11,-29
33132,-457,-3937,-1002,21,-8,-21
33142,-434,-3925,-1029,12,4,-18
33153,-441,-3926,-1024,5,9,-24
33162,-437,-3930,-1038,15,5,-20
33172,-427,-3943,-1006,18,5,-22
33182,-434,-3948,-1010,6,29,-11
33192,-452,-3929,-1002,5,-2,-8
33202,-441,-3939,-1031,-1,-11,-23
33212,-440,-3943,-1019,10,-7,-18
33222,-424,-3927,-1045,7,-21,-24
33232,-435,-3934,-1037,12,-8,-25
33242,-436,-3948,-1051,14,-6,-17
33252,-453,-3920,-1033,13,8,-20
33262,-455,-3931,-1039,17,11,-16
33272,-451,-3941,-1026,10,0,-25
33282,-425,-3921,-1023,8,-1,-24
33292,-426,-3935,-1028,7,-9,-26
33302,-392,-3934,-1055,-3,-30,-12
33312,-392,-3929,-1025,17,-13,-13
33323,-426,-3917,-985,2,35,-8
33332,-438,-3931,-1029,11,-15,-6
33342,-423,-3955,-1060,4,27,-5
33352,-444,-3930,-996,17,-12,-7
33362,-430,-3939,-1008,12,-6,-6
33372,-409,-3942,-1024,9,-18,0
33382,-409,-3949,-1018,16,-4,-5
33392,-398,-3933,-1049,9,3,1
33402,-410,-3937,-1048,22,-3,-3
33412,-421,-3923,-1044,3,3,4
33422,-428,-3936,-1007,15,-16,10
33432,-404,-3939,-1020,20,3,11
33442,-425,-3953,-1021,10,1,10
33453,-439,-3930,-1030,7,2,14
33462,-436,-3938,-1023,20,2,6
33472,-437,-3923,-1024,20,1,15
33482,-416,-3939,-1001,9,10,8
33492,-426,-3929,-1020,19,3,11
33502,-432,-3939,-1018,12,2,10
33512,-426,-3953,-1009,15,8,22
33522,-448,-3948,-1036,18,10,18
33532,-418,-3944,-1010,22,6,14
33542,-405,-3926,-1029,18,-4,13
33552,-436,-3939,-1015,9,6,8
33562,-431,-3938,-998,20,-7,13
33572,-442,-3942,-1010,11,6,20
33582,-415,-3939,-985,5,-24,6
33592,-411,-3935,-1034,23,-1,7
33602,-432,-3933,-997,24,9,17
33612,-412,-3942,-1073,23,-4,7
33623,-522,-3923,-989,0,28,24
33632,-405,-3967,-992,-4,-122,11
33642,-357,-3947,-1073,17,60,21
33652,-460,-3919,-980,20,-14,25
33662,-423,-3933,-989,4,14,10
33672,-444,-3951,-1014,-2,-31,20
33682,-358,-3941,-997,17,-38,15
33692,-471,-3925,-1053,22,52,30
33702,-447,-3947,-978,6,-93,-8
33712,-398,-3959,-1090,4,18,16
33722,-437,-3924,-984,10,-20,20
33732,-435,-3934,-1034,10,17,11
33742,-421,-3925,-982,0,-21,6
33752,-411,-3938,-1041,19,-19,8
33762,-439,-3944,-1010,2,8,6
33772,-429,-3952,-1063,16,-20,17
33782,-454,-3929,-1028,19,17,1
33793,-430,-3941,-989,13,-34,13
33802,-401,-3953,-1063,13,2,7
33812,-450,-3943,-1000,24,36,14
33822,-459,-3938,-1009,11,-13,16
33832,-410,-3936,-1001,1,-3,6
33842,-475,-3945,-1025,20,18,-7
33852,-477,-3921,-1004,-6,-29,3
33862,-415,-3931,-1035,-2,-43,-7
33872,-447,-3952,-1010,10,18,-3
33882,-446,-3931,-1005,5,-58,-9
33892,-438,-3934,-1036,3,-6,8
33902,-434,-3943,-1019,14,-12,2
33912,-438,-3936,-1039,12,4,-7
33922,-435,-3926,-1012,1,0,-12
33932,-438,-3936,-1017,6,-17,-3
33942,-434,-3924,-1002,2,-5,-7
33952,-443,-3940,-1000,-8,-19,-13
33963,-437,-3946,-1014,9,-19,-20
33972,-438,-3937,-1003,0,-28,-16
33982,-435,-3932,-1020,1,-26,-19
33992,-405,-3951,-997,3,-6,-9
34002,-427,-3951,-1035,4,10,-4
34012,-452,-3960,-1021,12,24,-8
34022,-445,-3943,-1009,3,-11,-8
34032,-454,-3938,-1025,6,-2,-10
34042,-449,-3961,-999,1,1,-18
34052,-436,-3931,-1029,7,-18,-18
34062,-421,-3948,-1001,2,-12,-11
34072,-445,-3935,-1011,2,-8,-12
34082,-430,-3939,-1057,7,-2,-13
34093,-429,-3921,-1039,-1,8,-12
34102,-440,-3938,-1036,5,-2,-15
34112,-416,-3935,-1031,15,6,-21
34122,-425,-3947,-1031,7,8,-13
34132,-434,-3950,-1003,1,4,-12
34142,-430,-3947,-1011,8,8,-17
34152,-437,-3944,-1027,14,21,-14
34162,-411,-3943,-1018,9,27,-8
34172,-434,-3940,-1041,1,43,-12
34182,-432,-3946,-1020,18,50,-15
